,Title,Date,Link
0,Using the Python subprocess Module,"May 06, 2025",https://realpython.com/courses/python-subprocess-module/
1,Sets in Python,"May 05, 2025",https://realpython.com/python-sets/
2,Modern Web Automation With Python and Selenium,"Apr 30, 2025",https://realpython.com/modern-web-automation-with-python-and-selenium/
3,Thread Safety in Python: Locks and Other Techniques,"Apr 29, 2025",https://realpython.com/courses/thread-safety-locks-other-techniques/
4,Managing Python Projects With uv: An All-in-One Solution,"Apr 28, 2025",https://realpython.com/python-uv/
5,Getting Started With Python IDLE,"Apr 23, 2025",https://realpython.com/python-idle/
6,MySQL Databases and Python,"Apr 22, 2025",https://realpython.com/courses/mysql-databases-python/
7,How to Copy Objects in Python: Shallow vs Deep Copy Explained,"Apr 21, 2025",https://realpython.com/python-copy/
8,How to Exit Loops Early With the Python Break Keyword,"Apr 16, 2025",https://realpython.com/python-break/
9,Creating a Python Dice Roll Application,"Apr 15, 2025",https://realpython.com/courses/creating-dice-roll-application/
10,Namespaces in Python,"Apr 14, 2025",https://realpython.com/python-namespace/
11,Using Python's .__dict__ to Work With Attributes,"Apr 09, 2025",https://realpython.com/python-dict-attribute/
12,"Checking for Membership Using Python's ""in"" and ""not in"" Operators","Apr 08, 2025",https://realpython.com/courses/checking-membership-in-not-in-operators/
13,Python News Roundup: April 2025,"Apr 07, 2025",https://realpython.com/python-news-april-2025/
14,How to Strip Characters From a Python String,"Apr 02, 2025",https://realpython.com/python-strip/
15,Building a Code Image Generator With Python,"Apr 01, 2025",https://realpython.com/courses/code-image-generator/
16,Python's Bytearray: A Mutable Sequence of Bytes,"Mar 31, 2025",https://realpython.com/python-bytearray/
17,Introducing DuckDB,"Mar 26, 2025",https://realpython.com/python-duckdb/
